5.683002247558143205e-01,5.684264424032882124e-01,5.683989739415424847e-01,5.684240639906006365e-01,5.684256796489837171e-01,5.681767628707217188e-01,5.684099441527034058e-01,5.684043070254508612e-01,5.684264476475399119e-01,5.684248058015726190e-01
5.684135399236945885e-01,5.684132170587306021e-01,5.684138378256613500e-01,5.684141691958995990e-01,5.684135414446651602e-01,5.684136220760184210e-01,5.682957899829244042e-01,5.684138052147185149e-01,5.684137150098351743e-01,5.684131367163710591e-01
5.684136437742546288e-01,5.684133209192335778e-01,5.684139417011675466e-01,5.684142730701624568e-01,5.684136453144289503e-01,5.684137259531703013e-01,5.682953057104329631e-01,5.684139090960287355e-01,5.684138189044311007e-01,5.684132406208373123e-01
5.684137476682742385e-01,5.684134248129222300e-01,5.684140455992627849e-01,5.684143769677003633e-01,5.684137492092502519e-01,5.684138298437156900e-01,5.682948214861962555e-01,5.684140129848069822e-01,5.684139227905926628e-01,5.684133445054883049e-01
5.684178988332700966e-01,5.684040998162964708e-01,5.683866227344213096e-01,5.684218986043569899e-01,5.684213004153595428e-01,5.684254529579918502e-01,5.683347450329157002e-01,5.683705750670255963e-01,5.684150424922849165e-01,5.684218161665109958e-01
5.684127432076435671e-01,5.684124203584687285e-01,5.684130411479408895e-01,5.684133725152846761e-01,5.684127447626282637e-01,5.684128253980300638e-01,5.682939658995495025e-01,5.684130085376365438e-01,5.684129183489053938e-01,5.684123400713074759e-01
5.684128471146289163e-01,5.684125242586074434e-01,5.684131450400461416e-01,5.684134764103117021e-01,5.684128486538019276e-01,5.684129292861623828e-01,5.682934817104484670e-01,5.684131124242267630e-01,5.684130222297546498e-01,5.684124439479962820e-01
5.684129510016323605e-01,5.684126281498669275e-01,5.684132489407281996e-01,5.684135803111105556e-01,5.684129525552471529e-01,5.684130331889905019e-01,5.682929977441609770e-01,5.684132163307721308e-01,5.684131261417892933e-01,5.684125478701339551e-01
5.684130549135483212e-01,5.684127320566261243e-01,5.684133528399825108e-01,5.684136842092636366e-01,5.684130564533620422e-01,5.684131370875814548e-01,5.682925135440203279e-01,5.684133202246899330e-01,5.684132300252856540e-01,5.684126517426166814e-01
5.683305705721284351e-01,5.684140207438180825e-01,5.683823526366565959e-01,5.684155193734298228e-01,5.684228930019844528e-01,5.683608588208544088e-01,5.684263244884819599e-01,5.684127660835281981e-01,5.684038241339458564e-01,5.684243563494195683e-01
